CLASS           , PRED. COUNT   , PRED. PERCENT., TRUE COUNT    , TRUE PERCENT. 
LowVeg          ,       21811274,         36.691,       21375614,         35.959
ImpSurf         ,       11792241,         19.837,       10419635,         17.528
Vehicle         ,         258552,          0.435,         258032,          0.434
UrbanFurni      ,        1135250,          1.910,        1159205,          1.950
Roof            ,        6288841,         10.579,        6279431,         10.563
Facade          ,        1316401,          2.214,        1198227,          2.016
Shrub           ,        1001650,          1.685,        1077141,          1.812
Tree            ,        8034373,         13.516,        8086818,         13.604
Soil/Gravel     ,        6892247,         11.594,        8590706,         14.451
VertSurf        ,         888070,          1.494,         974976,          1.640
Chimney         ,          26207,          0.044,          25321,          0.043