FEATURE                 , FEATURE IMPORTANCE  , PERM. IMP. MEAN     , PERM. IMP. STDEV
PCA_9                   ,             0.022607,             0.014063,             0.000040
PCA_6                   ,             0.025638,             0.018803,             0.000036
PCA_8                   ,             0.028034,             0.020091,             0.000058
PCA_7                   ,             0.032169,             0.023295,             0.000054
PCA_11                  ,             0.036930,             0.021372,             0.000036
PCA_3                   ,             0.047025,             0.028464,             0.000019
PCA_10                  ,             0.052353,             0.016763,             0.000031
PCA_5                   ,             0.062458,             0.039308,             0.000041
PCA_12                  ,             0.062910,             0.019000,             0.000044
PCA_4                   ,             0.068408,             0.042190,             0.000069
PCA_2                   ,             0.078614,             0.053191,             0.000059
PCA_1                   ,             0.482856,             0.322271,             0.000300